question_id,batch,category,question,expected_answer
F34,metadata,arithmetic_aggregation,"Among movies with IMDb ratings from 8.0 through 8.4 inclusive, what is the average runtime? Round the answer to two decimal places.",125.55 minutes
F35,metadata,arithmetic_aggregation,What is the total runtime of all movies directed by Christopher Nolan?,434 minutes
F36,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the largest runtime range, calculated as maximum runtime minus minimum runtime? Report the genre and its runtime range in minutes.",Comedy - 88 minutes
F37,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre has the highest average release year? Round the average year to two decimal places.",Sci-Fi - 2010.00
F38,metadata,genre_level_aggregation,"Among genres appearing in at least 4 movies, which genre contains the greatest number of movies released in or after 2010? Report the genre and the number of qualifying movies.",Adventure - 5 movies
F39,metadata,genre_level_aggregation,"Among genres appearing in exactly 4 movies, which genre has the highest total runtime? Report the genre and its total runtime in minutes.",Fantasy - 617 minutes
F40,metadata,genre_level_aggregation,"Compare Drama and Adventure movies. Which genre has the higher average IMDb rating, and what is the difference between their averages? Round averages and the difference to two decimal places.",Drama - 8.49; Adventure - 8.24; Difference: 0.25
F41,metadata,statistical_outlier_detection,"Among movies released before 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?",Saving Private Ryan; The Lord of the Rings: The Fellowship of the Ring; The Lord of the Rings: The Two Towers
F42,metadata,statistical_outlier_detection,"Among movies released before 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?",Memento; Monsters Inc.
F43,metadata,statistical_outlier_detection,"Among movies released in or after 2010, use the rule runtime > subset mean runtime + 1 population standard deviation. Which movies are runtime outliers?",The Wolf of Wall Street; Interstellar
F44,metadata,statistical_outlier_detection,"Among movies released in or after 2010, use the rule runtime < subset mean runtime - 1 population standard deviation. Which movies are runtime outliers?",Toy Story 3; How to Train Your Dragon
F45,metadata,statistical_outlier_detection,"Among Action movies only, use the rule IMDb rating > Action-movie mean rating + 1 population standard deviation. Which movies are rating outliers?",The Dark Knight
